         88457743 function calls in 59.583 seconds

   Ordered by: cumulative time
   List reduced from 192 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1234    0.005    0.000   30.920    0.025 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:194(advance_fixed_step_frame)
     1234    0.011    0.000   30.908    0.025 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:168(_run_planned_simulation_steps)
     1795    0.608    0.000   30.884    0.017 /home/victoria/projects/primordial/primordial/simulation/simulation.py:1016(step)
     1795    1.704    0.001   30.276    0.017 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2069(_step_boids)
     1234    0.504    0.000   23.411    0.019 /home/victoria/projects/primordial/primordial/rendering/renderer.py:362(draw)
     1795    0.907    0.001   20.752    0.012 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2160(_build_boid_neighbor_cache_and_assignments)
   148991    9.879    0.000   18.995    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2266(_collect_boid_neighbor_pairs)
     1234    3.294    0.003   12.328    0.010 /home/victoria/projects/primordial/primordial/rendering/renderer.py:883(_draw_creature_trails)
  2027609    3.403    0.000    6.476    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:112(draw_circle)
   507656    5.510    0.000    5.510    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
   209943    1.108    0.000    4.727    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:370(render_creature_from_state)
     1234    4.053    0.003    4.053    0.003 {method 'tick' of 'pygame.time.Clock' objects}
  5417246    2.565    0.000    3.648    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2842(_wrapped_delta)
   350744    3.181    0.000    3.554    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2298(_compute_boid_forces)
   209943    0.869    0.000    3.251    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:906(_build_creature_render_state)
  4593105    2.021    0.000    3.238    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2199(union)
     1234    0.021    0.000    1.841    0.001 /home/victoria/projects/primordial/primordial/rendering/renderer.py:141(blit_to)
   350744    1.111    0.000    1.782    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:91(update_position)
 10043723    1.667    0.000    1.667    0.000 {method 'append' of 'list' objects}
  7238626    1.666    0.000    1.666    0.000 {built-in method builtins.max}
     1234    1.488    0.001    1.488    0.001 {built-in method pygame.display.flip}
  9887698    1.306    0.000    1.306    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2193(find)
