         130011776 function calls in 59.922 seconds

   Ordered by: cumulative time
   List reduced from 192 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      348    0.001    0.000   49.613    0.143 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:194(advance_fixed_step_frame)
      348    0.005    0.000   49.610    0.143 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:168(_run_planned_simulation_steps)
     1689    0.550    0.000   49.596    0.029 /home/victoria/projects/primordial/primordial/simulation/simulation.py:1017(step)
     1689    1.711    0.001   49.045    0.029 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2070(_step_boids)
     1689    9.992    0.006   28.804    0.017 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2160(_build_boid_neighbor_cache)
     1689    7.098    0.004   11.451    0.007 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2251(_update_flock_assignments)
 17332970    6.891    0.000    9.868    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2776(_wrapped_delta)
      348    0.120    0.000    9.828    0.028 /home/victoria/projects/primordial/primordial/rendering/renderer.py:362(draw)
   328155    4.180    0.000    6.938    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2739(_nearby_creatures)
      348    1.064    0.003    5.115    0.015 /home/victoria/projects/primordial/primordial/rendering/renderer.py:864(_draw_creature_trails)
    66756    0.676    0.000    3.693    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:342(render_creature)
 18634371    3.240    0.000    3.240    0.000 {method 'add' of 'set' objects}
   328155    2.894    0.000    3.223    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2185(_compute_boid_forces)
 34733909    2.905    0.000    2.905    0.000 {built-in method builtins.abs}
   637187    1.120    0.000    2.118    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:112(draw_circle)
   175689    1.694    0.000    1.694    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
  7981876    1.669    0.000    1.669    0.000 {method 'get' of 'dict' objects}
 10636991    1.665    0.000    1.665    0.000 {method 'append' of 'list' objects}
   328155    1.003    0.000    1.618    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:91(update_position)
  6469836    1.237    0.000    1.237    0.000 {method 'extend' of 'list' objects}
    66584    0.338    0.000    1.158    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:883(_build_creature_render_state)
 10961321    1.081    0.000    1.081    0.000 {built-in method builtins.id}
    66756    0.527    0.000    0.957    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:267(_create_glow_surface)
   133340    0.105    0.000    0.857    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:67(resolve_color_for_creature)
  3447210    0.853    0.000    0.853    0.000 {built-in method builtins.max}
  1077048    0.818    0.000    0.818    0.000 {built-in method pygame.draw.circle}
   133496    0.065    0.000    0.754    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:239(resolve_color_for_species)
   133496    0.517    0.000    0.689    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:210(get_creature_color)
     1689    0.230    0.000    0.632    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2298(_update_boids_glyph_phases)
    66756    0.139    0.000    0.587    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:169(_get_rotated_glyph)
      348    0.565    0.002    0.565    0.002 {built-in method pygame.display.flip}
      348    0.006    0.000    0.545    0.002 /home/victoria/projects/primordial/primordial/rendering/renderer.py:141(blit_to)
  2116601    0.509    0.000    0.509    0.000 {built-in method builtins.min}
   328155    0.191    0.000    0.500    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:360(get_effective_sense_radius)
   723066    0.311    0.000    0.452    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:339(get_age_fraction)
      348    0.006    0.000    0.374    0.001 /home/victoria/projects/primordial/primordial/rendering/renderer.py:795(_draw_static_background)
    56786    0.355    0.000    0.355    0.000 {built-in method pygame.transform.rotate}
     1689    0.277    0.000    0.329    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2726(_build_creature_bucket)
  1707326    0.313    0.000    0.313    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:330(get_max_lifespan)
  2633653    0.312    0.000    0.312    0.000 {built-in method math.sqrt}
    17082    0.075    0.000    0.293    0.000 {built-in method builtins.sum}
      348    0.022    0.000    0.289    0.001 /home/victoria/projects/primordial/primordial/rendering/themes.py:415(render_ambient)
   328155    0.105    0.000    0.284    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:348(get_age_speed_mult)
   328155    0.171    0.000    0.246    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3003(_queue_preexisting_death)
   328155    0.191    0.000    0.234    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:373(get_movement_cost)
  1736259    0.223    0.000    0.223    0.000 {built-in method builtins.len}
    66756    0.058    0.000    0.158    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:421(get_glyph_surface)
   133340    0.084    0.000    0.146    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:394(get_birth_scale)
     1689    0.098    0.000    0.145    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3023(_sweep_frame_deaths)
   267024    0.096    0.000    0.143    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:352(<genexpr>)
   266336    0.096    0.000    0.141    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:893(<genexpr>)
   754333    0.128    0.000    0.128    0.000 {built-in method math.sin}
      348    0.012    0.000    0.128    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:410(tick_and_draw)
   335758    0.081    0.000    0.117    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2309(<genexpr>)
   460308    0.103    0.000    0.103    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:312(get_radius)
    11713    0.103    0.000    0.103    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
   335758    0.067    0.000    0.101    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2310(<genexpr>)
     1689    0.065    0.000    0.101    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:3145(_process_deaths)
     6048    0.036    0.000    0.098    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:163(draw)
   328155    0.096    0.000    0.096    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:321(get_sense_radius)
   325671    0.088    0.000    0.088    0.000 {method 'pop' of 'list' objects}
      371    0.009    0.000    0.088    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:332(build_glyph_surface)
   639348    0.085    0.000    0.085    0.000 {built-in method math.copysign}
   328155    0.062    0.000    0.062    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:76(get_trail_length)
      348    0.003    0.000    0.061    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:106(clear_touched)
   337384    0.059    0.000    0.059    0.000 {method 'random' of '_random.Random' objects}
      371    0.005    0.000    0.058    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:269(_draw_stroke_set)
   327217    0.052    0.000    0.052    0.000 {method 'setdefault' of 'dict' objects}
     8616    0.045    0.000    0.045    0.000 {built-in method pygame.transform.smoothscale}
   203290    0.045    0.000    0.045    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
   354161    0.040    0.000    0.040    0.000 {built-in method math.cos}
   133340    0.032    0.000    0.032    0.000 /home/victoria/projects/primordial/primordial/rendering/themes.py:303(_get_depth_render_style)
    70095    0.025    0.000    0.025    0.000 {built-in method builtins.round}
      348    0.021    0.000    0.021    0.000 {method 'tick' of 'pygame.time.Clock' objects}
      230    0.011    0.000    0.019    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:162(_draw_spiral)
      354    0.018    0.000    0.018    0.000 {method 'clear' of 'dict' objects}
      348    0.000    0.000    0.015    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:367(process_events)
     1187    0.001    0.000    0.014    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:200(wander)
    69963    0.013    0.000    0.013    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
     1187    0.005    0.000    0.013    0.000 /home/victoria/projects/primordial/primordial/simulation/creature.py:241(_wander_swim)
      217    0.007    0.000    0.013    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:35(_draw_arc)
      156    0.000    0.000    0.013    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:336(add_death)
      156    0.007    0.000    0.012    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:105(__init__)
     5174    0.008    0.000    0.011    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:309(_get_mode_param)
     1689    0.003    0.000    0.011    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2942(_get_overcrowding_penalty)
    12353    0.009    0.000    0.009    0.000 {built-in method pygame.draw.line}
     1680    0.002    0.000    0.009    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:268(draw)
     1796    0.003    0.000    0.008    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2950(_get_carrying_capacity)
     1689    0.004    0.000    0.008    0.000 /home/victoria/projects/primordial/primordial/runtime/fixed_step.py:81(buffer_simulation_attacks)
      107    0.001    0.000    0.007    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2322(_reproduce_boids)
     6398    0.005    0.000    0.007    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:215(scale)
      645    0.001    0.000    0.007    0.000 /usr/lib/python3.12/random.py:126(__init__)
     6048    0.006    0.000    0.006    0.000 /home/victoria/projects/primordial/primordial/rendering/animations.py:152(tick)
      645    0.002    0.000    0.006    0.000 /usr/lib/python3.12/random.py:135(seed)
     1976    0.001    0.000    0.006    0.000 /usr/lib/python3.12/random.py:332(randint)
        1    0.004    0.004    0.006    0.006 /home/victoria/projects/primordial/primordial/rendering/renderer.py:837(_ensure_zone_background_surface)
     1383    0.004    0.000    0.005    0.000 /usr/lib/python3.12/random.py:551(gauss)
     9728    0.005    0.000    0.005    0.000 {built-in method math.atan2}
     1725    0.002    0.000    0.005    0.000 /usr/lib/python3.12/random.py:341(choice)
     1976    0.002    0.000    0.005    0.000 /usr/lib/python3.12/random.py:291(randrange)
       84    0.001    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/simulation/simulation.py:2886(_apply_cosmic_ray)
    19140    0.004    0.000    0.004    0.000 {built-in method time.perf_counter}
      371    0.001    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/glyphs.py:236(_genome_hash_seed)
    10634    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     3701    0.003    0.000    0.004    0.000 /usr/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
      348    0.004    0.000    0.004    0.000 {built-in method pygame.event.get}
     6133    0.003    0.000    0.004    0.000 /usr/lib/python3.12/random.py:494(uniform)
      348    0.003    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/rendering/renderer.py:628(_draw_inspect_overlay)
      348    0.002    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/runtime/timing.py:161(build_frame_metrics)
      107    0.001    0.000    0.004    0.000 /home/victoria/projects/primordial/primordial/simulation/genome.py:65(mutate)
